Resumo										
										
										
Número	Seção				Custo total	Porcentagem do total	Material	Mão de obra		Economia possível
										
1	Serviços iniciais				R$ 3,695.54	5.48%	R$ 2,040.30	R$ 1,655.24		R$ 1,665.54
2	Terraplanagem				R$ 262.50	0.39%	R$ 0.00	R$ 262.50		
3	Fundações				R$ 12,607.56	18.68%	R$ 6,515.20	R$ 6,092.36		R$ 10,086.05
4	Estrutura de concreto				R$ 5,106.57	7.57%	R$ 3,663.45	R$ 1,443.13		R$ 5,106.57
5	Alvenaria				R$ 8,931.37	13.23%	R$ 5,491.99	R$ 3,439.37		R$ 3,171.97
6	Coberturas e impermeabilização				R$ 3,885.70	5.76%	R$ 2,377.43	R$ 1,508.27		
7	Pisos e rodapés				R$ 2,979.95	4.42%	R$ 1,259.50	R$ 1,720.45		
8	Portas e janelas				R$ 8,078.61	11.97%	R$ 6,726.84	R$ 1,351.77		R$ 704.44
9	Revestimentos e pinturas				R$ 7,183.67	10.64%	R$ 2,388.96	R$ 4,794.70		R$ 5,131.27
10	Instalações hidrossanitárias				R$ 5,731.73	8.49%	R$ 3,294.38	R$ 2,437.34		R$ 2,906.32
11	Instalações elétricas				R$ 8,397.26	12.44%	R$ 3,146.37	R$ 5,250.89		
12	Serviços complementares				R$ 630.00	0.93%	R$ 0.00	R$ 630.00		R$ 630.00
										
	Total				R$ 67,490.45	100.00%	R$ 36,904.43	R$ 30,586.02		R$ 38,088.29
										R$/m² 761.77
	Custo por metro quadrado				R$/m² 1,349.81					
										R$ 53,985.35
13	Imprevistos				R$ 10,123.57	15.00%				R$/m² 1,079.71
14	BDI (despesas indiretas + lucro da construtora)				R$ 20,247.14	30.00%				
										
	Total construtora				R$ 97,861.16					
										
15	Acréscimos possíveis: aquecedor solar, reuso de água				R$ 2,326.15					
										
	Terreno				R$ 70,000.00	preço por m²:	R$ 1,400.00			
										
										
Discriminação										
										
										
Número	Seção	Item	Unidade	Quantidade	Custo unitário material	Custo unitário mão de obra	Custo unitário	Custo total material	Custo total mão de obra	Custo total
										
1	Serviços iniciais									
										
1.1		Limpeza do terreno com retirada da vegetação quando necessário	m²	70.00	R$ 0.00	R$ 9.00	R$ 9.00	R$ 0.00	R$ 630.00	R$ 630.00
1.2		Locações de material de obra (betoneira)	mes	6.00	R$ 150.00	R$ 0.00	R$ 150.00	R$ 900.00	R$ 0.00	R$ 900.00
1.3		Locações de material de obra (diversos)	mes	2.00	R$ 250.00	R$ 0.00	R$ 250.00	R$ 500.00	R$ 0.00	R$ 500.00
1.4		Ligações provisórias as redes elétrica e telefonia (incluido em item 11.1)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
1.5		Ligações provisórias as redes de água e esgoto (incluido em item 10.8)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
1.6		Tapumes em chapa compensada 6mm	m²	38.00	R$ 16.85	R$ 26.98	R$ 43.83	R$ 640.30	R$ 1,025.24	R$ 1,665.54
1.7		Canteiro e demais instalações de obra	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
1.8		Encargos adicionais diversos	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
										
	Total							R$ 2,040.30	R$ 1,655.24	R$ 3,695.54
										
2	Terraplanagem									
										
2.1		Limpeza do terreno e remoção da camada vegetal (incluído em item 1.1)	m²	0.00	R$ 0.00	R$ 3.75	R$ 3.75	R$ 0.00	R$ 0.00	R$ 0.00
2.2		Escavação mecânica ou manual de terra	m³	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
2,3		Aterro	m³	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
2.4		Compactação de terreno	m²	70.00	R$ 0.00	R$ 3.75	R$ 3.75	R$ 0.00	R$ 262.50	R$ 262.50
										
	Total							R$ 0.00	R$ 262.50	R$ 262.50
										
3	Fundações									
										
3.1		Escavação mecânica ou manual de terra e preparo do fundo dos fossos	m³	13.73	R$ 0.00	R$ 45.01	R$ 45.01	R$ 618.21	R$ 618.21	R$ 1,236.41
3.2		Lastro de concreto magro de 5cm de espessura	m³	1.35	R$ 176.75	R$ 127.00	R$ 303.75	R$ 238.88	R$ 171.64	R$ 410.52
3.3		Forma de madeira	m²	46.80	R$ 8.53	R$ 40.65	R$ 49.18	R$ 399.24	R$ 1,902.58	R$ 2,301.82
3.4		Armaduras de aço CA-50 conforme projeto, com corte, dobra e montagem 40Kg/m³	kg	219.76	R$ 3.70	R$ 2.74	R$ 6.44	R$ 813.10	R$ 602.14	R$ 1,415.24
3.5		Concreto estrutural conforme projeto	m³	5.49	R$ 272.41	R$ 110.36	R$ 382.77	R$ 1,496.60	R$ 606.31	R$ 2,102.92
3.6		Alvenaria de embasamento	m³	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
3.7		Impermeabilização	m²	60.32	R$ 26.86	R$ 32.51	R$ 59.37	R$ 1,620.17	R$ 1,960.98	R$ 3,581.15
3.8		Estacas de concreto armado	m	30.00	R$ 44.30	R$ 1.50	R$ 45.80	R$ 1,329.00	R$ 45.00	R$ 1,374.00
3.9		Reaterro	m³	8.24	R$ 0.00	R$ 22.51	R$ 22.51	R$ 0.00	R$ 185.50	R$ 185.50
										
	Total							R$ 6,515.20	R$ 6,092.36	R$ 12,607.56
										
4	Estrutura de concreto									
										
4.1		Fôrma para estrutura de concreto em chapa de madeira compensada plastificada, incluindo cimbramento e suporte	m²	0.00	R$ 8.53	R$ 40.65	R$ 49.18	R$ 0.00	R$ 0.00	R$ 0.00
4.2		Armaduras de aço conforme projeto, com corte, dobra e montagem CA-50 100Kg/m³	kg	0.00	R$ 3.70	R$ 2.74	R$ 6.44	R$ 0.00	R$ 0.00	R$ 0.00
4.3		Concreto estrutural conforme projeto	m³	0.00	R$ 272.41	R$ 110.36	R$ 382.77	R$ 0.00	R$ 0.00	R$ 0.00
4.4		Vigas metálicas	kg	73.10	R$ 16.38	R$ 0.00	R$ 16.38	R$ 1,197.45	R$ 0.00	R$ 1,197.45
4.5		Lajes pré-fabricadas conforme projeto, incluindo capeamento	m²	45.14	R$ 54.63	R$ 31.97	R$ 86.60	R$ 2,466.00	R$ 1,443.13	R$ 3,909.12
										
	Total							R$ 3,663.45	R$ 1,443.13	R$ 5,106.57
										
5	Alvenaria									
										
5.1		Alvenaria estrutural em blocos de concreto de 14x19x39cm com juntas de argamassa industrializada de 1cm	m²	97.30	R$ 38.64	R$ 26.79	R$ 65.43	R$ 3,759.77	R$ 2,606.73	R$ 6,366.50
5.2		Alvenaria não-estrutural em tijolos cerâmicos furados de 14x19x19cm com juntas de argamassa de cimento e areia de 1cm	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
5.3		Parede de blocos de gesso 7cm	m²	22.38	R$ 23.04	R$ 9.87	R$ 32.91	R$ 515.48	R$ 220.92	R$ 736.39
5.4		Alvenaria de cobogós cerámicos de 40x40cm com juntas de argamassa de cimento e areia de 1cm	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
5.5		Vergas e contra-vergas de concreto ou bloco canaleta para portas e janelas	m³	0.65	R$ 574.03	R$ 505.15	R$ 1,079.18	R$ 371.96	R$ 327.33	R$ 699.28
5.6		Peitoris de pedra conforme projeto	m	7.05	R$ 65.02	R$ 2.34	R$ 67.36	R$ 458.39	R$ 16.50	R$ 474.89
5.7		Muro de divisa em blocos  de concreto de 14x19x39cm com junta de argamassa industrializada de 1cm	m²	10.00	R$ 38.64	R$ 26.79	R$ 65.43	R$ 386.40	R$ 267.90	R$ 654.30
										
	Total							R$ 5,491.99	R$ 3,439.37	R$ 8,931.37
										
6	Coberturas e impermeabilização									
										
6.1		Madeiramento para telhado de telha de fibrocimento com tratamento antifungos e anticupins	m²	47.38	R$ 13.91	R$ 9.32	R$ 23.23	R$ 659.04	R$ 441.57	R$ 1,100.61
6.2		Telhado de fibrocimento 6mm	m²	47.38	R$ 22.01	R$ 12.96	R$ 34.97	R$ 1,042.81	R$ 614.03	R$ 1,656.84
6.3		Cumeiras de fibrocimento	m	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
6.4		Impermeabilização com manta bituminosa em lajes de concreto	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
6.5		Calhas metálicas em chapa galvanizada dobrada conforme projeto, com furos e conectores para tubos de evacuação	m	13.00	R$ 33.29	R$ 19.04	R$ 52.33	R$ 432.77	R$ 247.52	R$ 680.29
6.6		Ralos para laje impermeabilizada em PVC	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
6.7		Tubos de evacuação de águas pluviais em PVC com 75mm de diâmetro	m	5.30	R$ 33.36	R$ 31.16	R$ 64.52	R$ 176.81	R$ 165.15	R$ 341.96
6.8		Rufos em chapa galvanizada dobrada para paredes de 14cm	m	5.78	R$ 11.42	R$ 6.92	R$ 18.34	R$ 66.01	R$ 40.00	R$ 106.01
										
	Total							R$ 2,377.43	R$ 1,508.27	R$ 3,885.70
										
7	Pisos e rodapés									
										
7.1		Lastro de concreto magro de 5cm de espessura	m³	2.08	R$ 176.38	R$ 126.99	R$ 303.37	R$ 366.89	R$ 264.16	R$ 631.05
7.2		Piso de cerâmica 40x40cm com juntas em argamassa industrializada conforme projeto	m²	8.77	R$ 28.33	R$ 21.49	R$ 49.82	R$ 248.38	R$ 188.41	R$ 436.80
7.3		Piso de concreto queimado monolítico e impermeabilizado, alisado mecanicamente com espessura de 4cm	m²	32.09	R$ 10.21	R$ 30.28	R$ 40.49	R$ 327.69	R$ 971.83	R$ 1,299.51
7.4		Piso exterior  em elementos de concreto conforme projeto, assentado em camada de areia estabilizada	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
7.5		Tapete de grama Batatais em placas de 40x80cm	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
7.6		Revestimento de calçada pública, conforme projeto e material existente, com nova camada de assentamento quando necessário	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
7.7		Guias de concreto pré-fabricadas	m	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
7.8		Rodapés interiores em cerâmica com altura de 7cm conforme projeto	m	44.52	R$ 7.11	R$ 6.65	R$ 13.76	R$ 316.54	R$ 296.06	R$ 612.60
										
	Total							R$ 1,259.50	R$ 1,720.45	R$ 2,979.95
										
8	Portas e janelas									
										
8.1		Esquadrias de alumínio 150x120cm de correr com duas folhas de vidro liso	un	0.00	R$ 400.00	R$ 69.62	R$ 469.62	R$ 0.00	R$ 0.00	R$ 0.00
8.2		Esquadrias de alumínio de 60x80cm basculante com uma folha de vidro liso	un	2.00	R$ 240.00	R$ 38.68	R$ 278.68	R$ 480.00	R$ 77.36	R$ 557.36
		Esquadrias de alumínio 150x210cm de correr com duas folhas de vidro liso	un	3.00	R$ 700.00	R$ 121.84	R$ 821.84	R$ 2,100.00	R$ 365.52	R$ 2,465.52
8.3		Janela zenital 95x420cm com ventilação permanente e vidro laminado	m²	3.99	R$ 597.47	R$ 130.93	R$ 728.40	R$ 2,383.91	R$ 522.41	R$ 2,906.32
8.4		Kit porta de madeira interior de 80x210cm para parede de gesso com batente, guarnições e ferragens	un	3.00	R$ 300.00	R$ 85.36	R$ 385.36	R$ 900.00	R$ 256.08	R$ 1,156.08
8.5		Porta de alumínio exterior com janela de 80x210cm com batente, guarnições e ferragens	un	1.00	R$ 862.93	R$ 130.40	R$ 993.33	R$ 862.93	R$ 130.40	R$ 993.33
										
	Total							R$ 6,726.84	R$ 1,351.77	R$ 8,078.61
										
9	Revestimentos e pinturas									
										
9.1		Forro de gesso acartonado fixado em estrutura de alumínio suspensa, com tabicas, alisamento e preparo para pintura	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
9.2		Reboco de argamassa de cimento e areia em paredes interiores, espessura 1cm	m²	87.30	R$ 3.57	R$ 19.42	R$ 22.99	R$ 311.67	R$ 1,695.41	R$ 2,007.08
9.3		Reboco de argamassa de cimento e areia em paredes exteriores, espessura 1cm	m²	87.30	R$ 2.78	R$ 8.38	R$ 11.16	R$ 242.70	R$ 731.59	R$ 974.30
9.4		Revestimento em cerâmica de 10x10cm	m²	26.71	R$ 43.14	R$ 10.72	R$ 53.86	R$ 1,152.12	R$ 286.29	R$ 1,438.41
9.5		Pintura em paredes interiores com tinta látex em duas demãos sobre camada de massa corrida	m²	60.60	R$ 2.79	R$ 10.06	R$ 12.85	R$ 169.06	R$ 609.60	R$ 778.66
9.6		Pintura em forros de laje aparente com tinta acrílica em duas demãos sobre camada de massa corrida	m²	45.14	R$ 2.79	R$ 10.06	R$ 12.85	R$ 125.94	R$ 454.11	R$ 580.05
9.7		Pintura em forros de gesso acartonado com tinta acrílica em duas demãos	m²	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
9.8		Pintura em paredes exteriores com tinta acrílica em duas demãos sobre camada de massa corrida	m²	87.30	R$ 3.50	R$ 10.06	R$ 13.56	R$ 305.56	R$ 878.26	R$ 1,183.82
9.9		Pintura em portas, janelas, rodapés e mobiliário com tinta esmaltada em duas demãos	m²	13.86	R$ 5.91	R$ 10.06	R$ 15.97	R$ 81.91	R$ 139.43	R$ 221.34
										
	Total							R$ 2,388.96	R$ 4,794.70	R$ 7,183.67
										
10	Instalações hidrossanitárias									
										
10.1		Bacia sanitária sifonada de louça, com caixa de sobrepor e tampa, com conexão à parede com tubos de PVC	un	1.00	R$ 395.88	R$ 103.87	R$ 499.75	R$ 395.88	R$ 103.87	R$ 499.75
10.2		Lavatório suspenso de louça sem coluna com sifão flexível e torneira de aço inox de sobrepor conectada à parede com tubo de PVC	un	1.00	R$ 238.83	R$ 76.81	R$ 315.64	R$ 238.83	R$ 76.81	R$ 315.64
10.3		Ralos de piso em PVC com caixa sionada	un	2.00	R$ 19.56	R$ 48.47	R$ 68.03	R$ 39.12	R$ 96.94	R$ 136.06
10.4		Torneiras de registro em aço	un	2.00	R$ 68.68	R$ 34.62	R$ 103.30	R$ 137.36	R$ 69.24	R$ 206.60
10.5		Tanque suspenso em fibra com sifão flexível e torneira de aço inox instalada na parede	un	1.00	R$ 405.70	R$ 94.12	R$ 499.82	R$ 405.70	R$ 94.12	R$ 499.82
10.6		Cuba de cozinha de embutir em aço inox de 15x30x45cm com sifão flexível e torneira de aço inox instalada na parede	un	1.00	R$ 368.48	R$ 51.93	R$ 420.41	R$ 368.48	R$ 51.93	R$ 420.41
10.7		Espera para chuveiro conforme projeto, com torneira de aço inox instalada na parede	un	1.00	R$ 68.77	R$ 79.00	R$ 147.77	R$ 68.77	R$ 79.00	R$ 147.77
10.8		Conexão à rede pública de distribuição de água, com escavação, tubulação e caixa de entrada e medição	un	1.00	R$ 106.52	R$ 258.91	R$ 365.43	R$ 106.52	R$ 258.91	R$ 365.43
10.9		Conexão à rede pública de esgoto com escavação, tubulação e caixa de inspeção	m	2.00	R$ 101.01	R$ 31.16	R$ 132.17	R$ 202.02	R$ 62.32	R$ 264.34
10.10		Caixa d’água em polietileno de 500L com instalação em base em alvenaria, com assessórios, boias, ventilação, peças de conexões e registros	un	1.00	R$ 419.70	R$ 276.98	R$ 696.68	R$ 419.70	R$ 276.98	R$ 696.68
10.11		Tubulação de PVC de 25mm de diâmetro para água fria, com cotovelos, joelhos e demais conectores onde necessário	m	26.37	R$ 4.36	R$ 13.85	R$ 18.21	R$ 114.98	R$ 365.25	R$ 480.23
10.12		Tampo de pia suspenso em granito de 120x55x3cm conforme projeto, com furação para a cuba, fixado à parede com mãos francesas metálicas, com bordas em granito de 5cm	m²	0.66	R$ 344.37	R$ 91.75	R$ 436.12	R$ 227.28	R$ 60.56	R$ 287.84
10.13		Caixa de separação de gordura em alvenaria	un	1.00	R$ 84.65	R$ 146.89	R$ 231.54	R$ 84.65	R$ 146.89	R$ 231.54
10.14		Caixa de inspeção exterior em concreto pré-fabricada tamanho mínimo 50x50x50cm	un	2.00	R$ 60.96	R$ 120.42	R$ 181.38	R$ 121.92	R$ 240.84	R$ 362.76
10.15		Tubulação de PVC de 50mm de diâmetro para esgoto, com cotovelos, joelhos e demais conectores onde necessário	m	15.25	R$ 14.20	R$ 20.77	R$ 34.97	R$ 216.55	R$ 316.74	R$ 533.29
10.16		Tubulação de PVC de 75mm de diâmetro para esgoto, com cotovelos, joelhos e demais conectores onde necessário	m	4.40	R$ 33.36	R$ 31.16	R$ 64.52	R$ 146.62	R$ 136.95	R$ 283.57
10.17		Conector de parede para gás de cozinha	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
										
	Total							R$ 3,294.38	R$ 2,437.34	R$ 5,731.73
										
11	Instalações elétricas									
										
11.1		Conexão à rede pública de distribuição elétrica baixa tensão com escavação, tubulação e caixa de entrada e caixa de medição em aço tipo armário	un	1.00	R$ 1,313.27	R$ 463.42	R$ 1,776.69	R$ 1,313.27	R$ 463.42	R$ 1,776.69
11.2		Conexão à rede pública de distribuição de telefonia / internet, com escavação, tubulação e caixa de entrada e medição (incluido em item 11.1)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
11.3		Quadro geral de distribuição elétrica em PVC embutido em parede conforme projeto	un	1.00	R$ 57.92	R$ 25.90	R$ 83.82	R$ 57.92	R$ 25.90	R$ 83.82
11.4		Disjuntores bipolares termomagnéticos de 20A	un	6.00	R$ 31.54	R$ 17.59	R$ 49.13	R$ 189.24	R$ 105.54	R$ 294.78
11.5		Disjuntores bipolares termomagnéticos de 40A	un	2.00	R$ 28.49	R$ 21.99	R$ 50.48	R$ 56.98	R$ 43.98	R$ 100.96
11.6		Eletroduto de PVC embutido em pisos e paredes	m	93.61	R$ 2.99	R$ 11.59	R$ 14.58	R$ 279.91	R$ 1,085.00	R$ 1,364.90
11.7		Fiação de cobre de 2.5mm / 4mm isolada com PVC com resistência mínima de 750V / 70°C	m	281.57	R$ 0.99	R$ 1.93	R$ 2.92	R$ 278.75	R$ 543.43	R$ 822.18
11.8		Caixas de passagem em PVC embutidas em paredes	un	29.00	R$ 4.39	R$ 6.59	R$ 10.98	R$ 127.31	R$ 191.11	R$ 318.42
11.9		Tomadas universais simples de 2 polos + aterramento 10A – 250V	un	11.00	R$ 22.87	R$ 77.24	R$ 100.11	R$ 251.57	R$ 849.64	R$ 1,101.21
11.10		Tomadas universais duplas de 2 polos + aterramento 10A – 250V	un	4.00	R$ 22.87	R$ 77.24	R$ 100.11	R$ 91.48	R$ 308.96	R$ 400.44
11.11		Interuptores de uma tecla simples 10A – 250V	un	8.00	R$ 22.97	R$ 77.24	R$ 100.21	R$ 183.76	R$ 617.92	R$ 801.68
11.12		Fiação para telefone	m	9.17	R$ 0.99	R$ 1.93	R$ 2.92	R$ 9.08	R$ 17.70	R$ 26.78
11.13		Tomada para telefone	un	1.00	R$ 8.86	R$ 9.65	R$ 18.51	R$ 8.86	R$ 9.65	R$ 18.51
11.14		Espera para luminária em laje de concreto	un	8.00	R$ 37.28	R$ 123.58	R$ 160.86	R$ 298.24	R$ 988.64	R$ 1,286.88
11.15		Espera para luminária em forro de gesso acartonado	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
11.16		luminária simples em PVC	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
11.17		Aterramento com haste de aço revestida com cobre de mínimo 150cm (incluido em item 11.1)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
										
	Total							R$ 3,146.37	R$ 5,250.89	R$ 8,397.26
										
12	Serviços complementares									
										
12.1		Limpeza geral do edifício	m²	70.00	R$ 0.00	R$ 9.00	R$ 9.00	R$ 0.00	R$ 630.00	R$ 630.00
										
	Total							R$ 0.00	R$ 630.00	R$ 630.00
										
										
										
15	Acréscimos possíveis									
										
15.1		Aquecedor solar 200L + 2 placas x 1.42m²	un	1.00	R$ 2,053.00	R$ 0.00	R$ 2,053.00	R$ 2,053.00	R$ 0.00	R$ 2,053.00
15.2		Cisterna para acumulação de água de chuva	m³	6.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
15.3		Bomba manual para água de chuva	un	1.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
15.4		Caixa d’água de chuva 300L	un	1.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
15.5		Tubulação de PVC de 25mm para sistema de água de reuso	m	15.00	R$ 4.36	R$ 13.85	R$ 18.21	R$ 65.40	R$ 207.75	R$ 273.15
										
	Total							R$ 2,118.40	R$ 207.75	R$ 2,326.15
